,Name,Type,THC_Level,Terpene,Relaxed,Happy,Euphoric,Uplifted
770,Rare Dankness #1,Indica,15%,Caryophyllene,71%,66%,0%,0%
771,Princess,Sativa,20%,Myrcene,66%,0%,100%,33%
772,Purple Berry,Indica,17%,Pinene,71%,54%,49%,0%
773,Boss OG,Hybrid,19%,Myrcene,51%,38%,38%,32%
774,Locktite,Hybrid,18%,Caryophyllene,65%,65%,47%,42%
775,SAGE,Hybrid,17%,Terpinolene,46%,59%,54%,52%
776,Platinum Garlic,Hybrid,22%,Caryophyllene,50%,28%,50%,14%
777,Rose Bud,Indica,14%,Myrcene,68%,42%,0%,31%
778,Candy Rain,Hybrid,19%,Myrcene,0%,14%,0%,0%
779,Squirt,Hybrid,17%,Caryophyllene,0%,60%,0%,40%
780,Aurora Indica,Indica,15%,Myrcene,78%,37%,29%,0%
781,Banana Cream Cake,Hybrid,21%,Myrcene,100%,100%,0%,0%
782,Pura Vida,Hybrid,23%,Limonene,50%,40%,60%,40%
783,Trinity,Sativa,19%,Myrcene,0%,60%,48%,62%
784,S'mores,Hybrid,16%,Caryophyllene,60%,40%,20%,0%
785,The Hog,Indica,19%,Myrcene,60%,44%,54%,26%
786,Biker Kush,Indica,15%,Myrcene,64%,57%,0%,42%
787,Purple Widow,Hybrid,17%,Myrcene,90%,61%,48%,0%
788,Purple Crack,Hybrid,17%,Myrcene,60%,64%,44%,47%
789,Nepalese,Sativa,19%,Myrcene,58%,69%,56%,51%
790,Darth Vader OG,Indica,17%,Myrcene,65%,34%,39%,0%
791,Blue Hawaiian,Hybrid,17%,Myrcene,58%,65%,41%,54%
792,Blackberry Cream,Indica,19%,Myrcene,65%,60%,35%,42%
793,White Lightning,Hybrid,18%,Myrcene,71%,68%,53%,51%
794,Cornbread,Indica,18%,Myrcene,75%,46%,35%,0%
795,Banana Puddintain,Hybrid,27%,Limonene,44%,33%,22%,33%
796,Sour Amnesia,Sativa,21%,Myrcene,0%,69%,55%,65%
797,Critical Purple Kush,Hybrid,15%,Myrcene,50%,50%,33%,0%
798,Afternoon Delight,Hybrid,16%,Terpinolene,60%,0%,60%,46%
799,Sunny D,Hybrid,19%,Myrcene,52%,82%,0%,70%
800,Deep Sleep,Indica,16%,Myrcene,69%,35%,42%,0%
801,Elephant,Sativa,16%,Caryophyllene,50%,71%,0%,42%
802,Church OG,Indica,15%,Caryophyllene,58%,38%,35%,25%
803,Berner's Cookies,Sativa,18%,Caryophyllene,0%,0%,0%,0%
804,Humboldt,Hybrid,18%,Myrcene,59%,56%,62%,46%
805,Lemon Ice,Sativa,18%,Myrcene,0%,35%,52%,47%
806,Quantum Kush,Sativa,19%,Limonene,55%,59%,58%,58%
807,Strawberry Cookies,Hybrid,19%,Myrcene,0%,0%,0%,0%
808,Goo,Indica,17%,Myrcene,69%,43%,39%,0%
809,Strawberry Ice,Sativa,18%,Myrcene,0%,58%,50%,47%
810,Blackberry Fire,Hybrid,20%,Myrcene,43%,68%,0%,37%
811,Lemon Cheesecake,Hybrid,19%,Terpinolene,14%,28%,0%,14%
812,Purple Alien OG,Hybrid,19%,Myrcene,65%,48%,50%,35%
813,Captain Crunch,Hybrid,15%,Myrcene,0%,33%,0%,33%
814,Death Star OG,Indica,23%,Myrcene,53%,41%,52%,28%
815,Dutch Haze,Sativa,20%,Terpinolene,33%,33%,0%,44%
816,Falcon 9,Indica,16%,Limonene,42%,0%,0%,14%
817,SnowLAnd,Hybrid,19%,Terpinolene,71%,53%,53%,40%
818,Green Kush,Indica,16%,Myrcene,32%,39%,51%,30%
819,Bonkers,Hybrid,24%,Limonene,57%,42%,57%,28%
820,Head Cheese,Hybrid,21%,Myrcene,59%,57%,65%,50%
821,Trophy Wife,Hybrid,25%,Limonene,40%,40%,40%,40%
822,Blue OG,Hybrid,15%,Myrcene,61%,57%,41%,42%
823,Tangilope,Sativa,14%,Myrcene,0%,67%,34%,61%
824,Tropsanto,Hybrid,19%,Caryophyllene,40%,40%,0%,0%
825,Burkle,Indica,17%,Limonene,85%,60%,57%,35%
826,Galactic Jack,Sativa,17%,Myrcene,0%,56%,46%,48%
827,Full Moon,Sativa,13%,Myrcene,0%,69%,53%,73%
828,White Walker Kush,Hybrid,20%,Myrcene,51%,40%,37%,48%
829,Citrus Farmer,Hybrid,21%,Pinene,0%,42%,28%,28%
830,Cookie Wreck,Hybrid,18%,Limonene,62%,51%,56%,40%
831,S5 Haze,Hybrid,23%,Caryophyllene,0%,0%,0%,40%
832,Dragon OG,Hybrid,20%,Limonene,46%,50%,38%,38%
833,Pomelo,Hybrid,18%,Myrcene,0%,0%,0%,0%
834,OG Cheese,Hybrid,14%,Myrcene,66%,56%,43%,43%
835,Chem D.O.G.,Indica,20%,Myrcene,60%,40%,0%,20%
836,Blue Moon Rocks,Hybrid,13%,Ocimene,72%,67%,67%,55%
837,Sour Bubble,Indica,16%,Caryophyllene,67%,54%,0%,32%
838,Cactus,Indica,21%,Terpinolene,64%,52%,45%,38%
839,Funfetti,Hybrid,20%,Caryophyllene,59%,68%,54%,31%
840,Gorilla Snacks,Hybrid,19%,Caryophyllene,43%,37%,0%,31%
841,Alien Rift,Indica,20%,Myrcene,83%,74%,58%,37%
842,Orange Apricot,Hybrid,16%,Myrcene,0%,0%,0%,0%
843,Vortex,Sativa,16%,Myrcene,0%,59%,62%,57%
844,Purple Cheese,Hybrid,18%,Myrcene,75%,73%,58%,42%
845,Blueberry Pancakes,Hybrid,20%,Caryophyllene,83%,59%,40%,40%
846,Salmon River OG,Indica,18%,Myrcene,70%,31%,35%,23%
847,Ogre,Hybrid,20%,Myrcene,59%,53%,49%,32%
848,Marionberry Kush,Hybrid,18%,Myrcene,68%,64%,38%,50%
849,Bootylicious,Hybrid,19%,Caryophyllene,30%,80%,40%,50%
850,OG Diesel Kush,Hybrid,19%,Myrcene,57%,71%,40%,0%
851,Cali Gold,Hybrid,19%,Myrcene,52%,57%,61%,50%
852,Purple Cream,Indica,15%,Ocimene,47%,50%,35%,0%
853,Yeti OG,Indica,20%,Limonene,69%,40%,32%,0%
854,Grateful Breath,Hybrid,24%,Ocimene,37%,50%,0%,12%
855,Sour Pebbles,Sativa,17%,Terpinolene,0%,75%,57%,64%
856,Bubbleberry,Hybrid,18%,Myrcene,34%,63%,50%,48%
857,Blue Goo,Hybrid,17%,Myrcene,45%,69%,59%,52%
858,Emerald OG,Indica,19%,Caryophyllene,84%,45%,33%,36%
859,Elektra,Hybrid,16%,Myrcene,78%,31%,0%,31%
860,C4,Hybrid,19%,Myrcene,73%,50%,50%,55%
861,Pineapple Punch,Sativa,21%,Terpinolene,0%,56%,47%,56%
862,Sour Power,Hybrid,23%,Limonene,56%,66%,46%,61%
863,CBD Critical Mass,Indica,9%,Myrcene,77%,53%,26%,34%
864,Orange Tree,Hybrid,19%,Caryophyllene,66%,66%,0%,0%
865,BC Big Bud,Hybrid,14%,Limonene,80%,62%,62%,50%
866,Blueberry Skunk,Indica,18%,Myrcene,58%,52%,58%,34%
867,Grapefruit Diesel,Hybrid,16%,Pinene,53%,50%,45%,48%
868,Double OG,Indica,16%,Myrcene,66%,38%,47%,19%
869,Sugar Kush,Indica,11%,Limonene,76%,52%,40%,0%
870,Primus,Indica,27%,Caryophyllene,77%,70%,52%,45%
871,Astroboy,Sativa,23%,Terpinolene,0%,70%,0%,58%
872,Cherry Blossom,Indica,20%,Pinene,66%,66%,0%,83%
873,Blue Kush,Hybrid,17%,Myrcene,64%,62%,51%,59%
874,Super Sour OG,Hybrid,23%,Caryophyllene,69%,69%,47%,47%
875,Mango Sapphire,Hybrid,21%,Myrcene,66%,66%,40%,40%
876,Purple Sour Diesel,Hybrid,16%,Myrcene,53%,53%,55%,44%
877,Space Bomb,Hybrid,13%,Caryophyllene,33%,52%,53%,58%
878,Strawberry Cake,Hybrid,16%,Myrcene,28%,28%,42%,14%
879,Skunk Haze,Hybrid,10%,Pinene,66%,40%,0%,32%
880,Purple Rhino,Hybrid,20%,Myrcene,82%,69%,56%,47%
881,K2,Hybrid,20%,Myrcene,78%,57%,0%,0%
882,Critical Plus 2.0,Indica,19%,Myrcene,62%,50%,50%,25%
883,The Sauce,Hybrid,18%,Limonene,46%,53%,58%,43%
884,It's It,Hybrid,16%,Limonene,66%,33%,33%,66%
885,Funky Monkey,Indica,18%,Caryophyllene,50%,50%,0%,50%
886,Lost Coast,Hybrid,19%,Caryophyllene,65%,43%,53%,57%
887,Jah Goo,Indica,15%,Terpinolene,70%,40%,30%,0%
888,Allen Wrench,Sativa,17%,Myrcene,0%,59%,0%,51%
889,Chemmy Jones,Hybrid,17%,Myrcene,42%,61%,51%,51%
890,White Cherry Truffle,Hybrid,12%,Myrcene,55%,44%,66%,55%
891,Banana Bread,Hybrid,20%,Myrcene,28%,50%,50%,21%
892,Florida OG,Hybrid,22%,Limonene,60%,40%,60%,80%
893,Blue Mystic,Indica,16%,Myrcene,58%,51%,51%,42%
894,Miracle Whip,Hybrid,20%,Terpinolene,25%,37%,0%,12%
895,Mandarin Kush,Hybrid,16%,Caryophyllene,100%,0%,0%,100%
896,White Bubblegum,Indica,16%,Myrcene,0%,0%,66%,0%
897,Diamond Dust,Hybrid,15%,Terpinolene,0%,50%,0%,75%
898,Blue Rhino,Hybrid,18%,Limonene,57%,50%,50%,37%
899,Candy Apple,Hybrid,19%,Pinene,0%,0%,0%,40%
900,Member OG,Hybrid,21%,Myrcene,90%,60%,60%,0%
901,The Lime,Hybrid,17%,Terpinolene,50%,100%,50%,0%
902,Jamaican Dream,Sativa,17%,Caryophyllene,41%,67%,38%,58%
903,Night Nurse,Indica,15%,Caryophyllene,79%,41%,34%,0%
904,Cactus Cooler,Hybrid,20%,Terpinolene,0%,40%,45%,35%
905,Durban Cookies,Sativa,19%,Myrcene,50%,64%,0%,54%
906,Chocolate Chunk,Indica,18%,Myrcene,64%,43%,35%,32%
907,Romulan Grapefruit,Hybrid,24%,Myrcene,33%,30%,31%,20%
908,Raspberry Cough,Sativa,19%,Myrcene,0%,55%,53%,61%
909,Purple Frost,Hybrid,19%,Myrcene,62%,25%,0%,25%
910,Sour Alien,Hybrid,21%,Terpinolene,67%,58%,47%,36%
911,AK-48,Hybrid,15%,Myrcene,45%,59%,47%,53%
912,Electric Kool Aid,Hybrid,18%,Myrcene,50%,75%,62%,50%
913,Purple Unicorn,Hybrid,10%,Limonene,50%,75%,50%,25%
914,Green Ribbon,Hybrid,18%,Limonene,0%,58%,0%,57%
915,Martian Candy,Hybrid,25%,Caryophyllene,69%,57%,50%,50%
916,Three Blue Kings,Hybrid,22%,Caryophyllene,100%,0%,0%,0%
917,Mataro Blue,Indica,23%,Myrcene,92%,52%,38%,35%
918,Snow Dog,Sativa,12%,Pinene,0%,57%,48%,57%
919,22,Hybrid,18%,Myrcene,0%,50%,50%,50%
920,Area 51,Hybrid,17%,Myrcene,56%,62%,50%,56%
921,Early Lemon Berry,Hybrid,17%,Terpinolene,0%,66%,44%,55%
922,Mango Tango,Hybrid,17%,Myrcene,50%,59%,50%,40%
923,King Crasher,Hybrid,14%,Myrcene,50%,0%,50%,0%
924,Dr. Grinspoon,Sativa,15%,Terpinolene,0%,60%,58%,72%
925,Shark Bite,Hybrid,24%,Limonene,22%,0%,44%,33%
926,Appalachia,Hybrid,21%,Caryophyllene,58%,64%,52%,47%
927,Bubblicious,Hybrid,16%,Myrcene,64%,56%,45%,35%
928,Cannalope Kush,Hybrid,17%,Myrcene,45%,68%,47%,53%
929,Lemon Alien Dawg,Hybrid,17%,Myrcene,64%,57%,48%,42%
930,Amherst Sour Diesel,Hybrid,17%,Myrcene,60%,66%,46%,66%
931,Kong,Hybrid,23%,Myrcene,64%,47%,38%,29%
932,Permafrost,Hybrid,17%,Myrcene,48%,53%,47%,45%
933,Lime Green Skunk,Hybrid,15%,Caryophyllene,31%,68%,45%,72%
934,Sour Haze,Sativa,18%,Terpinolene,42%,57%,44%,48%
935,White LSD,Sativa,16%,Myrcene,57%,85%,85%,71%
936,Chronic Thunder,Indica,15%,Myrcene,76%,46%,41%,0%
937,Blucifer,Sativa,20%,Caryophyllene,66%,91%,58%,75%
938,Sour Strawberry,Hybrid,15%,Myrcene,66%,0%,77%,77%
939,Darkside OG,Indica,20%,Pinene,75%,41%,58%,33%
940,Trix,Sativa,13%,Caryophyllene,30%,38%,23%,23%
941,Sweet Kush,Hybrid,17%,Limonene,46%,49%,42%,40%
942,Blue Flame,Hybrid,17%,Myrcene,0%,0%,0%,0%
943,Pina Colada,Sativa,11%,Caryophyllene,42%,42%,28%,0%
944,Jacky White,Sativa,19%,Myrcene,48%,51%,44%,31%
945,Triple Cheese,Indica,17%,Myrcene,92%,48%,80%,36%
946,Cherry Cola,Indica,16%,Myrcene,75%,57%,60%,53%
947,French Cookies,Sativa,22%,Myrcene,50%,50%,0%,50%
948,Super Kush,Indica,19%,Limonene,77%,74%,53%,53%
949,Dairy Queen,Hybrid,18%,Myrcene,54%,65%,50%,53%
950,Burmese Kush,Hybrid,17%,Myrcene,56%,54%,52%,38%
951,Lemon Garlic OG,Hybrid,8%,Myrcene,60%,0%,0%,20%
952,Hashbar OG,Indica,20%,Limonene,76%,38%,38%,23%
953,Ghost of Lee Roy,Hybrid,23%,Myrcene,60%,60%,0%,40%
954,Blue Sky,Hybrid,17%,Myrcene,57%,61%,34%,0%
955,Sirius Black,Indica,16%,Myrcene,86%,66%,57%,48%
956,Apollo 11,Hybrid,21%,Myrcene,0%,37%,67%,62%
957,Haze Berry,Sativa,20%,Myrcene,0%,65%,69%,65%
958,Orange 43,Hybrid,23%,Terpinolene,0%,28%,14%,14%
959,Purple Headband,Hybrid,16%,Terpinolene,62%,59%,59%,55%
960,Grapefruit Durban,Sativa,22%,Myrcene,0%,66%,66%,66%
961,Chocolatina,Sativa,20%,Myrcene,0%,0%,0%,0%
962,Mazar Kush,Indica,12%,Myrcene,55%,32%,20%,20%
963,Bubba's Gift,Indica,14%,Limonene,93%,56%,59%,29%
964,Walter White,Hybrid,19%,Caryophyllene,55%,65%,44%,44%
965,Purple Voodoo,Hybrid,16%,Caryophyllene,64%,50%,57%,46%
966,L.A. Cheese,Hybrid,16%,Caryophyllene,100%,0%,50%,50%
967,Tokyo OG,Hybrid,20%,Myrcene,70%,70%,79%,45%
968,Black Diesel,Sativa,22%,Terpinolene,41%,54%,58%,56%
969,Bananas,Hybrid,20%,Myrcene,63%,40%,22%,31%
970,Wild Thailand,Sativa,18%,Myrcene,0%,50%,45%,45%
971,Double Purple Doja,Indica,15%,Caryophyllene,85%,42%,42%,0%
972,Humble Pie,Hybrid,23%,Caryophyllene,20%,40%,0%,40%
973,Rare Darkness,Indica,15%,Terpinolene,73%,43%,44%,0%
974,Lemon Banana Sherbet,Hybrid,20%,Myrcene,56%,75%,43%,68%
975,Black Russian,Indica,18%,Myrcene,77%,30%,42%,0%
976,Blue Crack,Hybrid,19%,Myrcene,41%,51%,52%,48%
977,Blue Steel,Indica,19%,Pinene,70%,41%,29%,41%
978,Sourlope,Sativa,20%,Caryophyllene,55%,77%,0%,66%
979,Fucking Incredible,Indica,16%,Myrcene,58%,47%,47%,31%
980,Glass Slipper,Hybrid,16%,Caryophyllene,46%,57%,52%,58%
981,Colorado Chem,Hybrid,22%,Limonene,54%,64%,67%,41%
982,Red Cherry Berry,Hybrid,20%,Myrcene,69%,52%,43%,30%
983,Aliens On Moonshine,Indica,10%,Myrcene,23%,15%,0%,19%
984,Ninja Fruit,Hybrid,18%,Limonene,47%,58%,41%,52%
985,Moose and Lobsta,Sativa,22%,Myrcene,0%,75%,57%,70%
986,Slymer,Hybrid,18%,Terpinolene,0%,0%,0%,0%
987,Trap Star,Indica,23%,Limonene,75%,50%,50%,0%
988,Butterscotch,Indica,19%,Caryophyllene,61%,38%,55%,0%
989,Nightmare OG,Hybrid,20%,Terpinolene,80%,80%,0%,0%
990,Big Bang,Indica,23%,Terpinolene,63%,63%,48%,34%
991,Blue Lights,Indica,20%,Myrcene,69%,49%,58%,36%
992,Sweet Cheese,Sativa,21%,Myrcene,47%,68%,60%,51%
993,Bubba Cookies,Hybrid,20%,Caryophyllene,100%,100%,60%,40%
994,Granola Funk,Hybrid,21%,Pinene,44%,56%,52%,40%
995,Sour Power OG,Hybrid,20%,Limonene,55%,33%,0%,33%
996,Tang Eray,Hybrid,23%,Myrcene,0%,71%,0%,42%
997,Oregon Diesel,Indica,17%,Caryophyllene,71%,63%,46%,36%
998,Malawi Gold,Sativa,13%,Myrcene,45%,54%,54%,72%
999,Purple Glue,Hybrid,22%,Myrcene,72%,0%,63%,27%
1000,Face on Fire,Hybrid,20%,Limonene,60%,40%,0%,40%
1001,Lucinda Williams,Hybrid,25%,Limonene,0%,0%,0%,0%
1002,Blueberry AK,Hybrid,18%,Limonene,50%,50%,43%,31%
1003,Flo OG,Indica,16%,Limonene,73%,52%,43%,30%
1004,Frankenstein,Indica,19%,Myrcene,67%,42%,30%,0%
1005,Copper Chem,Hybrid,20%,Limonene,0%,0%,0%,0%
1006,Himalayan Gold,Hybrid,16%,Pinene,0%,32%,50%,37%
1007,AK-49,Sativa,18%,Caryophyllene,0%,0%,0%,60%
1008,Extreme OG,Indica,19%,Limonene,91%,25%,16%,0%
1009,Vanilla Gorilla,Hybrid,20%,Caryophyllene,77%,55%,0%,0%
1010,Durga Mata,Indica,19%,Myrcene,75%,66%,33%,41%
1011,Samoas,Hybrid,21%,Myrcene,50%,50%,0%,0%
1012,The Guice,Hybrid,19%,Caryophyllene,54%,45%,72%,54%
1013,Boy Scout Cookies,Hybrid,17%,Caryophyllene,68%,71%,53%,37%
1014,Death By Cake OG,Hybrid,23%,Limonene,0%,66%,66%,33%
1015,Sonoma Coma,Sativa,18%,Limonene,35%,40%,55%,40%
1016,Purple Power,Sativa,17%,Myrcene,76%,64%,52%,47%
1017,The Bling,Hybrid,15%,Terpinolene,0%,40%,60%,60%
1018,Gorilla Punch,Hybrid,19%,Caryophyllene,0%,0%,0%,0%
1019,Sour Headband,Hybrid,21%,Caryophyllene,68%,62%,68%,72%
1020,Sour Candy,Hybrid,17%,Myrcene,40%,64%,40%,56%
1021,OG Lime Killer,Hybrid,14%,Caryophyllene,0%,60%,50%,50%
1022,Snow Mountain,Indica,19%,Terpinolene,100%,0%,0%,50%
1023,Cowboy Kush,Hybrid,27%,Terpinolene,68%,81%,40%,0%
1024,Ash,Hybrid,19%,Caryophyllene,88%,77%,77%,66%
1025,Pineapple Super Silver Haze,Sativa,19%,Terpinolene,0%,74%,45%,61%
1026,Double Mint,Indica,20%,Myrcene,80%,0%,60%,60%
1027,Snow Lotus,Hybrid,19%,Limonene,50%,45%,54%,37%
1028,MediHaze,Sativa,9%,Myrcene,64%,55%,0%,43%
1029,Caesar,Hybrid,22%,Limonene,100%,100%,50%,50%
1030,Royal Wedding,Hybrid,27%,Limonene,44%,33%,22%,22%
1031,Lambo OG,Hybrid,14%,Myrcene,46%,53%,86%,33%
1032,Dutch Treat Haze,Hybrid,20%,Myrcene,61%,69%,51%,67%
1033,Pineapple Cookies,Hybrid,18%,Myrcene,63%,57%,47%,36%
1034,Bazooka Joe G,Hybrid,14%,Caryophyllene,50%,0%,0%,50%
1035,Cherry Cream Pie,Hybrid,19%,Caryophyllene,69%,47%,39%,26%
1036,Tangerine Power,Hybrid,18%,Myrcene,69%,63%,55%,50%
1037,Paradise Circus,Hybrid,20%,Caryophyllene,42%,14%,0%,57%
1038,Hawaiian Mayan Gold,Sativa,17%,Terpinolene,0%,88%,77%,88%
1039,American Pie,Hybrid,21%,Myrcene,71%,42%,71%,57%
1040,Green Lantern,Sativa,19%,Myrcene,0%,66%,60%,73%
1041,Critical Sensi Star,Indica,18%,Myrcene,74%,41%,31%,27%
1042,Big Foot Glue,Hybrid,17%,Caryophyllene,0%,0%,0%,0%
1043,Loud Dream,Hybrid,16%,Myrcene,36%,56%,0%,46%
1044,Grape OG,Hybrid,19%,Myrcene,45%,63%,27%,36%
1045,Platinum Sour Diesel,Hybrid,19%,Caryophyllene,66%,83%,50%,33%
1046,L.A. Sunshine,Hybrid,19%,Terpinolene,28%,71%,28%,57%
1047,Batman OG,Indica,18%,Myrcene,72%,54%,0%,36%
1048,Golden Strawberry,Hybrid,23%,Myrcene,100%,0%,0%,100%
1049,5th Element,Indica,21%,Limonene,73%,47%,50%,35%
1050,The Doctor,Indica,21%,Myrcene,68%,56%,56%,0%
1051,Zamaldelica,Sativa,20%,Terpinolene,0%,50%,0%,75%
1052,Blueberry Dream,Sativa,17%,Myrcene,58%,61%,0%,29%
1053,Medusa,Hybrid,15%,Myrcene,59%,55%,42%,28%
1054,Jelly Roll,Indica,17%,Myrcene,45%,36%,18%,27%
1055,Sour Sunset,Hybrid,18%,Myrcene,70%,68%,68%,56%
1056,Silver Mountain,Hybrid,20%,Terpinolene,0%,55%,55%,55%
1057,Vader OG,Indica,18%,Limonene,54%,37%,25%,0%
1058,Ghostbreath,Hybrid,19%,Myrcene,71%,0%,42%,57%
1059,Master Yoda,Hybrid,15%,Myrcene,70%,48%,47%,38%
1060,Orange Skunk,Hybrid,18%,Caryophyllene,50%,73%,0%,34%
1061,Valley Girl,Hybrid,23%,Caryophyllene,46%,53%,42%,34%
1062,Garlicane,Hybrid,18%,Limonene,28%,28%,0%,28%
1063,Twisted Citrus,Sativa,20%,Terpinolene,53%,60%,50%,60%
1064,Hazmat OG,Hybrid,22%,Myrcene,22%,44%,22%,0%
1065,Tillamook Strawberry,Hybrid,15%,Myrcene,47%,62%,32%,45%
1066,Green Dragon,Indica,20%,Terpinolene,54%,35%,38%,30%
1067,Red Diesel,Hybrid,15%,Myrcene,48%,50%,57%,42%
1068,White Durban,Sativa,23%,Terpinolene,0%,0%,44%,44%
1069,Casper OG,Indica,21%,Myrcene,66%,33%,41%,0%
1070,Sapphire OG,Hybrid,22%,Caryophyllene,100%,60%,60%,20%
1071,Fat Banana,Hybrid,18%,Myrcene,0%,0%,0%,0%
1072,Alaskan Ice,Sativa,16%,Myrcene,44%,64%,66%,54%
1073,Purple Wreck,Indica,16%,Myrcene,50%,42%,40%,37%
1074,Electric Lemonade,Sativa,17%,Myrcene,35%,42%,42%,35%
1075,Frostbite,Sativa,17%,Myrcene,65%,70%,40%,50%
1076,Bullrider,Indica,18%,Terpinolene,52%,53%,40%,36%
1077,Alpha Blue,Sativa,20%,Myrcene,43%,64%,47%,65%
1078,Maui Pineapple Chunk,Hybrid,20%,Myrcene,0%,0%,100%,75%
1079,Querkle,Indica,18%,Myrcene,59%,48%,45%,37%
1080,Indiana Bubble Gum,Hybrid,23%,Caryophyllene,33%,0%,0%,33%
1081,Platinum Huckleberry Cookies,Hybrid,21%,Myrcene,50%,36%,43%,26%
1082,Voodoo,Sativa,19%,Myrcene,0%,51%,42%,48%
1083,Pineapple Jack,Sativa,19%,Terpinolene,47%,55%,46%,56%
1084,Berries & Crème,Indica,22%,Myrcene,33%,33%,33%,0%
1085,Blue Knight,Indica,13%,Limonene,91%,47%,44%,46%
1086,Iron Triangle,Hybrid,20%,Caryophyllene,70%,82%,47%,35%
1087,Pineapple Fields,Sativa,18%,Ocimene,50%,70%,53%,66%
1088,Golden Cobra,Hybrid,19%,Myrcene,0%,0%,75%,50%
1089,Soul Assassin OG,Hybrid,16%,Caryophyllene,68%,59%,65%,0%
1090,Irish Cream,Indica,26%,Limonene,87%,50%,37%,62%
1091,Chem Valley Kush,Hybrid,18%,Myrcene,52%,54%,49%,58%
1092,Blue Moonshine,Indica,18%,Terpinolene,57%,50%,54%,31%
1093,Purple Elephant,Indica,17%,Myrcene,78%,53%,40%,38%
1094,Afghan Skunk,Indica,17%,Myrcene,67%,60%,0%,27%
1095,Flaming Cookies,Indica,15%,Limonene,70%,58%,58%,0%
1096,Congo,Sativa,17%,Myrcene,0%,80%,53%,80%
1097,Mule Fuel,Hybrid,24%,Limonene,0%,0%,0%,0%
1098,Tangie Biscotti,Hybrid,25%,Myrcene,67%,64%,55%,55%
1099,Sugar Plum,Sativa,17%,Myrcene,42%,55%,55%,57%
1100,B-52,Indica,19%,Myrcene,70%,51%,54%,32%
1101,Malawi,Sativa,19%,Myrcene,0%,42%,43%,57%
1102,Pakistan Valley,Indica,18%,Myrcene,73%,53%,40%,40%
1103,Dark Shadow Haze,Hybrid,17%,Myrcene,80%,60%,100%,60%
1104,OGiesel,Hybrid,18%,Caryophyllene,35%,66%,60%,50%
1105,Cloud 9,Hybrid,20%,Limonene,34%,53%,46%,0%
1106,Green Queen,Hybrid,18%,Myrcene,34%,57%,49%,52%
1107,Grandpa Larry OG,Indica,22%,Myrcene,61%,44%,44%,0%
1108,Silvertip,Hybrid,21%,Myrcene,75%,72%,45%,48%
1109,Cheesewreck,Hybrid,17%,Caryophyllene,44%,46%,50%,33%
1110,Ambrosia,Hybrid,19%,Myrcene,44%,68%,50%,57%
1111,Sour Cheese,Hybrid,18%,Terpinolene,48%,64%,60%,54%
1112,Grape Valley Kush,Indica,25%,Myrcene,46%,30%,40%,13%
1113,Master Bubba,Indica,24%,Myrcene,56%,42%,45%,0%
1114,Blue Venom,Hybrid,12%,Myrcene,79%,52%,57%,38%
1115,Pink Sunset,Indica,17%,Myrcene,72%,54%,36%,27%
1116,Orange Dream,Hybrid,17%,Myrcene,47%,58%,43%,54%
1117,Critical Widow,Hybrid,15%,Limonene,65%,51%,55%,68%
1118,Maple Leaf Indica,Indica,15%,Myrcene,52%,50%,44%,0%
1119,Frisian Dew,Hybrid,12%,Myrcene,66%,41%,62%,0%
1120,LA Chocolat,Hybrid,17%,Myrcene,80%,60%,42%,0%
1121,Silver Surfer,Hybrid,20%,Myrcene,0%,51%,0%,48%
1122,Strawberry Dream,Hybrid,19%,Limonene,37%,53%,50%,50%
1123,Madman OG,Hybrid,19%,Limonene,73%,50%,52%,44%
1124,Birds of Paradise,Hybrid,17%,Myrcene,0%,42%,28%,33%
1125,CBD Shark,Indica,10%,Myrcene,74%,41%,0%,21%
1126,Deep Breath,Hybrid,17%,Ocimene,0%,100%,0%,50%
1127,Kurple Fantasy,Hybrid,23%,Limonene,74%,61%,69%,38%
1128,Mt. Hood Magic,Hybrid,21%,Terpinolene,57%,69%,69%,60%
1129,Fire Alien Kush,Hybrid,17%,Limonene,67%,59%,40%,48%
1130,Sonic Screwdriver,Sativa,17%,Limonene,0%,75%,62%,62%
1131,Atomic,Hybrid,16%,Myrcene,100%,77%,44%,22%
1132,Spumoni,Hybrid,23%,Terpinolene,80%,40%,0%,20%
1133,Versace,Hybrid,14%,Myrcene,69%,60%,52%,56%
1134,Power Kush,Indica,16%,Myrcene,52%,44%,43%,28%
1135,Humboldt Dream,Indica,14%,Myrcene,42%,28%,42%,42%
1136,Lifesaver,Hybrid,13%,Myrcene,48%,44%,46%,25%
1137,Tangie Dream,Hybrid,19%,Myrcene,0%,42%,42%,50%
1138,Sour Cream,Hybrid,20%,Pinene,55%,64%,37%,48%
1139,Sugar Pine,Hybrid,23%,Terpinolene,66%,0%,66%,100%
1140,Purple Goo,Indica,16%,Caryophyllene,60%,46%,61%,41%
1141,White Urkle,Hybrid,20%,Myrcene,76%,55%,48%,23%
1142,Morockin’ Kush,Hybrid,12%,Pinene,100%,50%,0%,0%
1143,Chem Scout,Indica,21%,Caryophyllene,89%,56%,56%,41%
1144,Lilac OG,Hybrid,16%,Terpinolene,50%,0%,0%,50%
1145,Purple Champagne,Sativa,18%,Myrcene,45%,45%,48%,65%
1146,Narnia,Sativa,21%,Terpinolene,0%,72%,62%,63%
1147,Dank Sinatra,Hybrid,18%,Limonene,41%,33%,0%,8%
1148,Citron,Hybrid,18%,Terpinolene,0%,0%,0%,0%
1149,Stinky Pete,Hybrid,25%,Terpinolene,71%,57%,0%,28%
